evidence_id,evidence_type,source_table,source_record_id,lot_id,event_time,tool_id,chamber_id,root_cause_id,is_shared_evidence,evidence_summary,evidence_payload
EVID_ALARM_ABRUPT_001,tool_event,synthetic_tool_events,EVT_ABRUPT_001,SYNV2_00001,,TOOL_02,TOOL_02_CH_02,RC_PRESSURE_INSTABILITY,True,tool_alarm,"{""alarm_code"":""ALARM_PRESSURE_SHIFT"",""chamber_id"":""TOOL_02_CH_02"",""end_time"":""2026-01-01 04:30:00"",""event_id"":""EVT_ABRUPT_001"",""event_type"":""tool_alarm"",""evidence_id"":""EVID_ALARM_ABRUPT_001"",""related_lot_id"":""SYNV2_00001"",""severity"":""high"",""start_time"":""2026-01-01 04:00:00"",""tool_id"":""TOOL_02""}"
EVID_SHIFT_SYNV2_00001,synthetic_lot,synthetic_secom_v2,SYNV2_00001,SYNV2_00001,2026-01-01 06:00:00,TOOL_02,TOOL_02_CH_02,RC_PRESSURE_INSTABILITY,False,Synthetic abrupt mean-shift lot evidence; sensors=sensor_091;sensor_128;sensor_137;sensor_166;sensor_342;sensor_350;sensor_435;sensor_473;sensor_549;sensor_573; sigma=2.97844851275513.,"{""abrupt_shift_sigma"":""2.97844851275513"",""anomaly_mechanism"":""abrupt_mean_shift"",""chamber_id"":""TOOL_02_CH_02"",""event_time"":""2026-01-01 06:00:00"",""injected_sensor_columns"":""sensor_091;sensor_128;sensor_137;sensor_166;sensor_342;sensor_350;sensor_435;sensor_473;sensor_549;sensor_573"",""lot_id"":""SYNV2_00001"",""product_family"":""MIXED_SIGNAL"",""recipe_id"":""RCP_C"",""root_cause_id"":""RC_PRESSURE_INSTABILITY"",""synthetic_evidence_id"":""EVID_SHIFT_SYNV2_00001"",""tool_id"":""TOOL_02""}"
EVID_SHIFT_SYNV2_00002,synthetic_lot,synthetic_secom_v2,SYNV2_00002,SYNV2_00002,2026-01-01 10:00:00,TOOL_02,TOOL_02_CH_02,RC_PRESSURE_INSTABILITY,False,Synthetic abrupt mean-shift lot evidence; sensors=sensor_091;sensor_128;sensor_137;sensor_166;sensor_342;sensor_350;sensor_435;sensor_473;sensor_549;sensor_573; sigma=2.97844851275513.,"{""abrupt_shift_sigma"":""2.97844851275513"",""anomaly_mechanism"":""abrupt_mean_shift"",""chamber_id"":""TOOL_02_CH_02"",""event_time"":""2026-01-01 10:00:00"",""injected_sensor_columns"":""sensor_091;sensor_128;sensor_137;sensor_166;sensor_342;sensor_350;sensor_435;sensor_473;sensor_549;sensor_573"",""lot_id"":""SYNV2_00002"",""product_family"":""LOGIC"",""recipe_id"":""RCP_A"",""root_cause_id"":""RC_PRESSURE_INSTABILITY"",""synthetic_evidence_id"":""EVID_SHIFT_SYNV2_00002"",""tool_id"":""TOOL_02""}"
EVID_SHIFT_SYNV2_00010,synthetic_lot,synthetic_secom_v2,SYNV2_00010,SYNV2_00010,2026-01-02 18:00:00,TOOL_02,TOOL_02_CH_02,RC_PRESSURE_INSTABILITY,False,Synthetic abrupt mean-shift lot evidence; sensors=sensor_091;sensor_128;sensor_137;sensor_166;sensor_342;sensor_350;sensor_435;sensor_473;sensor_549;sensor_573; sigma=2.97844851275513.,"{""abrupt_shift_sigma"":""2.97844851275513"",""anomaly_mechanism"":""abrupt_mean_shift"",""chamber_id"":""TOOL_02_CH_02"",""event_time"":""2026-01-02 18:00:00"",""injected_sensor_columns"":""sensor_091;sensor_128;sensor_137;sensor_166;sensor_342;sensor_350;sensor_435;sensor_473;sensor_549;sensor_573"",""lot_id"":""SYNV2_00010"",""product_family"":""MIXED_SIGNAL"",""recipe_id"":""RCP_A"",""root_cause_id"":""RC_PRESSURE_INSTABILITY"",""synthetic_evidence_id"":""EVID_SHIFT_SYNV2_00010"",""tool_id"":""TOOL_02""}"
EVID_SHIFT_SYNV2_00016,synthetic_lot,synthetic_secom_v2,SYNV2_00016,SYNV2_00016,2026-01-03 18:00:00,TOOL_02,TOOL_02_CH_02,RC_PRESSURE_INSTABILITY,False,Synthetic abrupt mean-shift lot evidence; sensors=sensor_091;sensor_128;sensor_137;sensor_166;sensor_342;sensor_350;sensor_435;sensor_473;sensor_549;sensor_573; sigma=2.97844851275513.,"{""abrupt_shift_sigma"":""2.97844851275513"",""anomaly_mechanism"":""abrupt_mean_shift"",""chamber_id"":""TOOL_02_CH_02"",""event_time"":""2026-01-03 18:00:00"",""injected_sensor_columns"":""sensor_091;sensor_128;sensor_137;sensor_166;sensor_342;sensor_350;sensor_435;sensor_473;sensor_549;sensor_573"",""lot_id"":""SYNV2_00016"",""product_family"":""MIXED_SIGNAL"",""recipe_id"":""RCP_B"",""root_cause_id"":""RC_PRESSURE_INSTABILITY"",""synthetic_evidence_id"":""EVID_SHIFT_SYNV2_00016"",""tool_id"":""TOOL_02""}"
EVID_SHIFT_SYNV2_00029,synthetic_lot,synthetic_secom_v2,SYNV2_00029,SYNV2_00029,2026-01-05 22:00:00,TOOL_02,TOOL_02_CH_02,RC_PRESSURE_INSTABILITY,False,Synthetic abrupt mean-shift lot evidence; sensors=sensor_091;sensor_128;sensor_137;sensor_166;sensor_342;sensor_350;sensor_435;sensor_473;sensor_549;sensor_573; sigma=2.97844851275513.,"{""abrupt_shift_sigma"":""2.97844851275513"",""anomaly_mechanism"":""abrupt_mean_shift"",""chamber_id"":""TOOL_02_CH_02"",""event_time"":""2026-01-05 22:00:00"",""injected_sensor_columns"":""sensor_091;sensor_128;sensor_137;sensor_166;sensor_342;sensor_350;sensor_435;sensor_473;sensor_549;sensor_573"",""lot_id"":""SYNV2_00029"",""product_family"":""MIXED_SIGNAL"",""recipe_id"":""RCP_C"",""root_cause_id"":""RC_PRESSURE_INSTABILITY"",""synthetic_evidence_id"":""EVID_SHIFT_SYNV2_00029"",""tool_id"":""TOOL_02""}"
EVID_SHIFT_SYNV2_00044,synthetic_lot,synthetic_secom_v2,SYNV2_00044,SYNV2_00044,2026-01-08 10:00:00,TOOL_02,TOOL_02_CH_02,RC_PRESSURE_INSTABILITY,False,Synthetic abrupt mean-shift lot evidence; sensors=sensor_091;sensor_128;sensor_137;sensor_166;sensor_342;sensor_350;sensor_435;sensor_473;sensor_549;sensor_573; sigma=2.97844851275513.,"{""abrupt_shift_sigma"":""2.97844851275513"",""anomaly_mechanism"":""abrupt_mean_shift"",""chamber_id"":""TOOL_02_CH_02"",""event_time"":""2026-01-08 10:00:00"",""injected_sensor_columns"":""sensor_091;sensor_128;sensor_137;sensor_166;sensor_342;sensor_350;sensor_435;sensor_473;sensor_549;sensor_573"",""lot_id"":""SYNV2_00044"",""product_family"":""MIXED_SIGNAL"",""recipe_id"":""RCP_B"",""root_cause_id"":""RC_PRESSURE_INSTABILITY"",""synthetic_evidence_id"":""EVID_SHIFT_SYNV2_00044"",""tool_id"":""TOOL_02""}"
EVID_SHIFT_SYNV2_00087,synthetic_lot,synthetic_secom_v2,SYNV2_00087,SYNV2_00087,2026-01-15 14:00:00,TOOL_02,TOOL_02_CH_02,RC_PRESSURE_INSTABILITY,False,Synthetic abrupt mean-shift lot evidence; sensors=sensor_091;sensor_128;sensor_137;sensor_166;sensor_342;sensor_350;sensor_435;sensor_473;sensor_549;sensor_573; sigma=2.97844851275513.,"{""abrupt_shift_sigma"":""2.97844851275513"",""anomaly_mechanism"":""abrupt_mean_shift"",""chamber_id"":""TOOL_02_CH_02"",""event_time"":""2026-01-15 14:00:00"",""injected_sensor_columns"":""sensor_091;sensor_128;sensor_137;sensor_166;sensor_342;sensor_350;sensor_435;sensor_473;sensor_549;sensor_573"",""lot_id"":""SYNV2_00087"",""product_family"":""LOGIC"",""recipe_id"":""RCP_A"",""root_cause_id"":""RC_PRESSURE_INSTABILITY"",""synthetic_evidence_id"":""EVID_SHIFT_SYNV2_00087"",""tool_id"":""TOOL_02""}"
EVID_SHIFT_SYNV2_00088,synthetic_lot,synthetic_secom_v2,SYNV2_00088,SYNV2_00088,2026-01-15 18:00:00,TOOL_02,TOOL_02_CH_02,RC_PRESSURE_INSTABILITY,False,Synthetic abrupt mean-shift lot evidence; sensors=sensor_091;sensor_128;sensor_137;sensor_166;sensor_342;sensor_350;sensor_435;sensor_473;sensor_549;sensor_573; sigma=2.97844851275513.,"{""abrupt_shift_sigma"":""2.97844851275513"",""anomaly_mechanism"":""abrupt_mean_shift"",""chamber_id"":""TOOL_02_CH_02"",""event_time"":""2026-01-15 18:00:00"",""injected_sensor_columns"":""sensor_091;sensor_128;sensor_137;sensor_166;sensor_342;sensor_350;sensor_435;sensor_473;sensor_549;sensor_573"",""lot_id"":""SYNV2_00088"",""product_family"":""MEMORY"",""recipe_id"":""RCP_C"",""root_cause_id"":""RC_PRESSURE_INSTABILITY"",""synthetic_evidence_id"":""EVID_SHIFT_SYNV2_00088"",""tool_id"":""TOOL_02""}"
EVID_SHIFT_SYNV2_00157,synthetic_lot,synthetic_secom_v2,SYNV2_00157,SYNV2_00157,2026-01-27 06:00:00,TOOL_02,TOOL_02_CH_02,RC_PRESSURE_INSTABILITY,False,Synthetic abrupt mean-shift lot evidence; sensors=sensor_091;sensor_128;sensor_137;sensor_166;sensor_342;sensor_350;sensor_435;sensor_473;sensor_549;sensor_573; sigma=2.97844851275513.,"{""abrupt_shift_sigma"":""2.97844851275513"",""anomaly_mechanism"":""abrupt_mean_shift"",""chamber_id"":""TOOL_02_CH_02"",""event_time"":""2026-01-27 06:00:00"",""injected_sensor_columns"":""sensor_091;sensor_128;sensor_137;sensor_166;sensor_342;sensor_350;sensor_435;sensor_473;sensor_549;sensor_573"",""lot_id"":""SYNV2_00157"",""product_family"":""MIXED_SIGNAL"",""recipe_id"":""RCP_B"",""root_cause_id"":""RC_PRESSURE_INSTABILITY"",""synthetic_evidence_id"":""EVID_SHIFT_SYNV2_00157"",""tool_id"":""TOOL_02""}"
EVID_SHIFT_SYNV2_00167,synthetic_lot,synthetic_secom_v2,SYNV2_00167,SYNV2_00167,2026-01-28 22:00:00,TOOL_02,TOOL_02_CH_02,RC_PRESSURE_INSTABILITY,False,Synthetic abrupt mean-shift lot evidence; sensors=sensor_091;sensor_128;sensor_137;sensor_166;sensor_342;sensor_350;sensor_435;sensor_473;sensor_549;sensor_573; sigma=2.97844851275513.,"{""abrupt_shift_sigma"":""2.97844851275513"",""anomaly_mechanism"":""abrupt_mean_shift"",""chamber_id"":""TOOL_02_CH_02"",""event_time"":""2026-01-28 22:00:00"",""injected_sensor_columns"":""sensor_091;sensor_128;sensor_137;sensor_166;sensor_342;sensor_350;sensor_435;sensor_473;sensor_549;sensor_573"",""lot_id"":""SYNV2_00167"",""product_family"":""MEMORY"",""recipe_id"":""RCP_A"",""root_cause_id"":""RC_PRESSURE_INSTABILITY"",""synthetic_evidence_id"":""EVID_SHIFT_SYNV2_00167"",""tool_id"":""TOOL_02""}"
