lot_id,event_time,tool_id,chamber_id,recipe_id,product_family,is_synthetic_anomaly,anomaly_mechanism,root_cause_id,synthetic_evidence_id,is_contextual_control,contextual_pair_id,contextual_expected_status,contextual_normal_recipe,contextual_anomalous_recipe,contextual_sensor_columns,recipe_context_evidence_id
SYNV2_00709,2026-04-29 06:00:00,TOOL_04,TOOL_04_CH_01,RCP_B,LOGIC,1,contextual_anomaly,RC_RECIPE_CONTEXT_MISMATCH,EVID_CONTEXT_ANOMALY_CTX_PAIR_001,0,CTX_PAIR_001,anomalous,RCP_A,RCP_B,sensor_099|sensor_103|sensor_130|sensor_173|sensor_211|sensor_290|sensor_304|sensor_308|sensor_310|sensor_339|sensor_388|sensor_467|sensor_489,EVID_CONTEXT_ANOMALY_CTX_PAIR_001
SYNV2_00013,2026-01-03 06:00:00,TOOL_04,TOOL_04_CH_01,RCP_A,MIXED_SIGNAL,0,none,none,,1,CTX_PAIR_001,normal,RCP_A,RCP_B,sensor_099|sensor_103|sensor_130|sensor_173|sensor_211|sensor_290|sensor_304|sensor_308|sensor_310|sensor_339|sensor_388|sensor_467|sensor_489,EVID_CONTEXT_CONTROL_CTX_PAIR_001
SYNV2_00724,2026-05-01 18:00:00,TOOL_04,TOOL_04_CH_01,RCP_B,MIXED_SIGNAL,1,contextual_anomaly,RC_RECIPE_CONTEXT_MISMATCH,EVID_CONTEXT_ANOMALY_CTX_PAIR_002,0,CTX_PAIR_002,anomalous,RCP_A,RCP_B,sensor_099|sensor_103|sensor_130|sensor_173|sensor_211|sensor_290|sensor_304|sensor_308|sensor_310|sensor_339|sensor_388|sensor_467|sensor_489,EVID_CONTEXT_ANOMALY_CTX_PAIR_002
SYNV2_00022,2026-01-04 18:00:00,TOOL_04,TOOL_04_CH_01,RCP_A,LOGIC,0,none,none,,1,CTX_PAIR_002,normal,RCP_A,RCP_B,sensor_099|sensor_103|sensor_130|sensor_173|sensor_211|sensor_290|sensor_304|sensor_308|sensor_310|sensor_339|sensor_388|sensor_467|sensor_489,EVID_CONTEXT_CONTROL_CTX_PAIR_002
SYNV2_00736,2026-05-03 18:00:00,TOOL_04,TOOL_04_CH_01,RCP_B,LOGIC,1,contextual_anomaly,RC_RECIPE_CONTEXT_MISMATCH,EVID_CONTEXT_ANOMALY_CTX_PAIR_003,0,CTX_PAIR_003,anomalous,RCP_A,RCP_B,sensor_099|sensor_103|sensor_130|sensor_173|sensor_211|sensor_290|sensor_304|sensor_308|sensor_310|sensor_339|sensor_388|sensor_467|sensor_489,EVID_CONTEXT_ANOMALY_CTX_PAIR_003
SYNV2_00062,2026-01-11 10:00:00,TOOL_04,TOOL_04_CH_01,RCP_A,LOGIC,0,none,none,,1,CTX_PAIR_003,normal,RCP_A,RCP_B,sensor_099|sensor_103|sensor_130|sensor_173|sensor_211|sensor_290|sensor_304|sensor_308|sensor_310|sensor_339|sensor_388|sensor_467|sensor_489,EVID_CONTEXT_CONTROL_CTX_PAIR_003
SYNV2_00747,2026-05-05 14:00:00,TOOL_04,TOOL_04_CH_01,RCP_B,LOGIC,1,contextual_anomaly,RC_RECIPE_CONTEXT_MISMATCH,EVID_CONTEXT_ANOMALY_CTX_PAIR_004,0,CTX_PAIR_004,anomalous,RCP_A,RCP_B,sensor_099|sensor_103|sensor_130|sensor_173|sensor_211|sensor_290|sensor_304|sensor_308|sensor_310|sensor_339|sensor_388|sensor_467|sensor_489,EVID_CONTEXT_ANOMALY_CTX_PAIR_004
SYNV2_00091,2026-01-16 06:00:00,TOOL_04,TOOL_04_CH_01,RCP_A,MIXED_SIGNAL,0,none,none,,1,CTX_PAIR_004,normal,RCP_A,RCP_B,sensor_099|sensor_103|sensor_130|sensor_173|sensor_211|sensor_290|sensor_304|sensor_308|sensor_310|sensor_339|sensor_388|sensor_467|sensor_489,EVID_CONTEXT_CONTROL_CTX_PAIR_004
SYNV2_00792,2026-05-13 02:00:00,TOOL_04,TOOL_04_CH_01,RCP_B,MIXED_SIGNAL,1,contextual_anomaly,RC_RECIPE_CONTEXT_MISMATCH,EVID_CONTEXT_ANOMALY_CTX_PAIR_005,0,CTX_PAIR_005,anomalous,RCP_A,RCP_B,sensor_099|sensor_103|sensor_130|sensor_173|sensor_211|sensor_290|sensor_304|sensor_308|sensor_310|sensor_339|sensor_388|sensor_467|sensor_489,EVID_CONTEXT_ANOMALY_CTX_PAIR_005
SYNV2_00107,2026-01-18 22:00:00,TOOL_04,TOOL_04_CH_01,RCP_A,MEMORY,0,none,none,,1,CTX_PAIR_005,normal,RCP_A,RCP_B,sensor_099|sensor_103|sensor_130|sensor_173|sensor_211|sensor_290|sensor_304|sensor_308|sensor_310|sensor_339|sensor_388|sensor_467|sensor_489,EVID_CONTEXT_CONTROL_CTX_PAIR_005
SYNV2_00796,2026-05-13 18:00:00,TOOL_04,TOOL_04_CH_01,RCP_B,MEMORY,1,contextual_anomaly,RC_RECIPE_CONTEXT_MISMATCH,EVID_CONTEXT_ANOMALY_CTX_PAIR_006,0,CTX_PAIR_006,anomalous,RCP_A,RCP_B,sensor_099|sensor_103|sensor_130|sensor_173|sensor_211|sensor_290|sensor_304|sensor_308|sensor_310|sensor_339|sensor_388|sensor_467|sensor_489,EVID_CONTEXT_ANOMALY_CTX_PAIR_006
SYNV2_00113,2026-01-19 22:00:00,TOOL_04,TOOL_04_CH_01,RCP_A,LOGIC,0,none,none,,1,CTX_PAIR_006,normal,RCP_A,RCP_B,sensor_099|sensor_103|sensor_130|sensor_173|sensor_211|sensor_290|sensor_304|sensor_308|sensor_310|sensor_339|sensor_388|sensor_467|sensor_489,EVID_CONTEXT_CONTROL_CTX_PAIR_006
SYNV2_00809,2026-05-15 22:00:00,TOOL_04,TOOL_04_CH_01,RCP_B,LOGIC,1,contextual_anomaly,RC_RECIPE_CONTEXT_MISMATCH,EVID_CONTEXT_ANOMALY_CTX_PAIR_007,0,CTX_PAIR_007,anomalous,RCP_A,RCP_B,sensor_099|sensor_103|sensor_130|sensor_173|sensor_211|sensor_290|sensor_304|sensor_308|sensor_310|sensor_339|sensor_388|sensor_467|sensor_489,EVID_CONTEXT_ANOMALY_CTX_PAIR_007
SYNV2_00151,2026-01-26 06:00:00,TOOL_04,TOOL_04_CH_01,RCP_A,MEMORY,0,none,none,,1,CTX_PAIR_007,normal,RCP_A,RCP_B,sensor_099|sensor_103|sensor_130|sensor_173|sensor_211|sensor_290|sensor_304|sensor_308|sensor_310|sensor_339|sensor_388|sensor_467|sensor_489,EVID_CONTEXT_CONTROL_CTX_PAIR_007
SYNV2_00819,2026-05-17 14:00:00,TOOL_04,TOOL_04_CH_01,RCP_B,LOGIC,1,contextual_anomaly,RC_RECIPE_CONTEXT_MISMATCH,EVID_CONTEXT_ANOMALY_CTX_PAIR_008,0,CTX_PAIR_008,anomalous,RCP_A,RCP_B,sensor_099|sensor_103|sensor_130|sensor_173|sensor_211|sensor_290|sensor_304|sensor_308|sensor_310|sensor_339|sensor_388|sensor_467|sensor_489,EVID_CONTEXT_ANOMALY_CTX_PAIR_008
