evidence_id,evidence_type,source_table,source_record_id,lot_id,event_time,tool_id,chamber_id,root_cause_id,is_shared_evidence,evidence_summary,evidence_payload
EVID_MAINT_DELAY_GRADUAL_001,maintenance,synthetic_maintenance,MAINT_GRADUAL_001,SYNV2_00019,2026-01-04 06:00:00,TOOL_05,TOOL_05_CH_02,RC_COMPONENT_WEAR,True,Synthetic delayed-maintenance evidence; type=preventive_inspection; component=pressure_control_valve; delay_days=5; replacement_performed=False.,"{""chamber_id"":""TOOL_05_CH_02"",""component"":""pressure_control_valve"",""delay_days"":""5"",""evidence_id"":""EVID_MAINT_DELAY_GRADUAL_001"",""maintenance_id"":""MAINT_GRADUAL_001"",""maintenance_type"":""preventive_inspection"",""performed_at"":""2026-01-04 06:00:00"",""related_lot_id"":""SYNV2_00019"",""replacement_performed"":""False"",""scheduled_at"":""2025-12-30 06:00:00"",""tool_id"":""TOOL_05""}"
EVID_DEGRADATION_SYNV2_00019,synthetic_lot,synthetic_secom_v2,SYNV2_00019,SYNV2_00019,2026-01-04 06:00:00,TOOL_05,TOOL_05_CH_02,RC_COMPONENT_WEAR,False,Synthetic gradual_degradation lot evidence.,"{""abrupt_shift_sigma"":"""",""anomaly_mechanism"":""gradual_degradation"",""chamber_id"":""TOOL_05_CH_02"",""degradation_progress"":""0.02127659574468085"",""event_time"":""2026-01-04 06:00:00"",""injected_sensor_columns"":""sensor_026;sensor_089;sensor_091;sensor_120;sensor_133;sensor_159;sensor_206;sensor_281;sensor_333;sensor_343;sensor_351;sensor_389;sensor_418;sensor_457;sensor_486;sensor_541;sensor_550"",""lot_id"":""SYNV2_00019"",""product_family"":""MIXED_SIGNAL"",""recipe_id"":""RCP_C"",""root_cause_id"":""RC_COMPONENT_WEAR"",""synthetic_evidence_id"":""EVID_DEGRADATION_SYNV2_00019"",""tool_id"":""TOOL_05""}"
EVID_DEGRADATION_SYNV2_00038,synthetic_lot,synthetic_secom_v2,SYNV2_00038,SYNV2_00038,2026-01-07 10:00:00,TOOL_05,TOOL_05_CH_02,RC_COMPONENT_WEAR,False,Synthetic gradual_degradation lot evidence.,"{""abrupt_shift_sigma"":"""",""anomaly_mechanism"":""gradual_degradation"",""chamber_id"":""TOOL_05_CH_02"",""degradation_progress"":""0.0425531914893617"",""event_time"":""2026-01-07 10:00:00"",""injected_sensor_columns"":""sensor_026;sensor_089;sensor_091;sensor_120;sensor_133;sensor_159;sensor_206;sensor_281;sensor_333;sensor_343;sensor_351;sensor_389;sensor_418;sensor_457;sensor_486;sensor_541;sensor_550"",""lot_id"":""SYNV2_00038"",""product_family"":""MIXED_SIGNAL"",""recipe_id"":""RCP_C"",""root_cause_id"":""RC_COMPONENT_WEAR"",""synthetic_evidence_id"":""EVID_DEGRADATION_SYNV2_00038"",""tool_id"":""TOOL_05""}"
EVID_DEGRADATION_SYNV2_00041,synthetic_lot,synthetic_secom_v2,SYNV2_00041,SYNV2_00041,2026-01-07 22:00:00,TOOL_05,TOOL_05_CH_02,RC_COMPONENT_WEAR,False,Synthetic gradual_degradation lot evidence.,"{""abrupt_shift_sigma"":"""",""anomaly_mechanism"":""gradual_degradation"",""chamber_id"":""TOOL_05_CH_02"",""degradation_progress"":""0.06382978723404255"",""event_time"":""2026-01-07 22:00:00"",""injected_sensor_columns"":""sensor_026;sensor_089;sensor_091;sensor_120;sensor_133;sensor_159;sensor_206;sensor_281;sensor_333;sensor_343;sensor_351;sensor_389;sensor_418;sensor_457;sensor_486;sensor_541;sensor_550"",""lot_id"":""SYNV2_00041"",""product_family"":""MEMORY"",""recipe_id"":""RCP_B"",""root_cause_id"":""RC_COMPONENT_WEAR"",""synthetic_evidence_id"":""EVID_DEGRADATION_SYNV2_00041"",""tool_id"":""TOOL_05""}"
EVID_DEGRADATION_SYNV2_00068,synthetic_lot,synthetic_secom_v2,SYNV2_00068,SYNV2_00068,2026-01-12 10:00:00,TOOL_05,TOOL_05_CH_02,RC_COMPONENT_WEAR,False,Synthetic gradual_degradation lot evidence.,"{""abrupt_shift_sigma"":"""",""anomaly_mechanism"":""gradual_degradation"",""chamber_id"":""TOOL_05_CH_02"",""degradation_progress"":""0.0851063829787234"",""event_time"":""2026-01-12 10:00:00"",""injected_sensor_columns"":""sensor_026;sensor_089;sensor_091;sensor_120;sensor_133;sensor_159;sensor_206;sensor_281;sensor_333;sensor_343;sensor_351;sensor_389;sensor_418;sensor_457;sensor_486;sensor_541;sensor_550"",""lot_id"":""SYNV2_00068"",""product_family"":""MEMORY"",""recipe_id"":""RCP_C"",""root_cause_id"":""RC_COMPONENT_WEAR"",""synthetic_evidence_id"":""EVID_DEGRADATION_SYNV2_00068"",""tool_id"":""TOOL_05""}"
EVID_DEGRADATION_SYNV2_00072,synthetic_lot,synthetic_secom_v2,SYNV2_00072,SYNV2_00072,2026-01-13 02:00:00,TOOL_05,TOOL_05_CH_02,RC_COMPONENT_WEAR,False,Synthetic gradual_degradation lot evidence.,"{""abrupt_shift_sigma"":"""",""anomaly_mechanism"":""gradual_degradation"",""chamber_id"":""TOOL_05_CH_02"",""degradation_progress"":""0.10638297872340426"",""event_time"":""2026-01-13 02:00:00"",""injected_sensor_columns"":""sensor_026;sensor_089;sensor_091;sensor_120;sensor_133;sensor_159;sensor_206;sensor_281;sensor_333;sensor_343;sensor_351;sensor_389;sensor_418;sensor_457;sensor_486;sensor_541;sensor_550"",""lot_id"":""SYNV2_00072"",""product_family"":""MEMORY"",""recipe_id"":""RCP_C"",""root_cause_id"":""RC_COMPONENT_WEAR"",""synthetic_evidence_id"":""EVID_DEGRADATION_SYNV2_00072"",""tool_id"":""TOOL_05""}"
EVID_DEGRADATION_SYNV2_00104,synthetic_lot,synthetic_secom_v2,SYNV2_00104,SYNV2_00104,2026-01-18 10:00:00,TOOL_05,TOOL_05_CH_02,RC_COMPONENT_WEAR,False,Synthetic gradual_degradation lot evidence.,"{""abrupt_shift_sigma"":"""",""anomaly_mechanism"":""gradual_degradation"",""chamber_id"":""TOOL_05_CH_02"",""degradation_progress"":""0.1276595744680851"",""event_time"":""2026-01-18 10:00:00"",""injected_sensor_columns"":""sensor_026;sensor_089;sensor_091;sensor_120;sensor_133;sensor_159;sensor_206;sensor_281;sensor_333;sensor_343;sensor_351;sensor_389;sensor_418;sensor_457;sensor_486;sensor_541;sensor_550"",""lot_id"":""SYNV2_00104"",""product_family"":""MEMORY"",""recipe_id"":""RCP_B"",""root_cause_id"":""RC_COMPONENT_WEAR"",""synthetic_evidence_id"":""EVID_DEGRADATION_SYNV2_00104"",""tool_id"":""TOOL_05""}"
EVID_DEGRADATION_SYNV2_00105,synthetic_lot,synthetic_secom_v2,SYNV2_00105,SYNV2_00105,2026-01-18 14:00:00,TOOL_05,TOOL_05_CH_02,RC_COMPONENT_WEAR,False,Synthetic gradual_degradation lot evidence.,"{""abrupt_shift_sigma"":"""",""anomaly_mechanism"":""gradual_degradation"",""chamber_id"":""TOOL_05_CH_02"",""degradation_progress"":""0.14893617021276595"",""event_time"":""2026-01-18 14:00:00"",""injected_sensor_columns"":""sensor_026;sensor_089;sensor_091;sensor_120;sensor_133;sensor_159;sensor_206;sensor_281;sensor_333;sensor_343;sensor_351;sensor_389;sensor_418;sensor_457;sensor_486;sensor_541;sensor_550"",""lot_id"":""SYNV2_00105"",""product_family"":""MIXED_SIGNAL"",""recipe_id"":""RCP_A"",""root_cause_id"":""RC_COMPONENT_WEAR"",""synthetic_evidence_id"":""EVID_DEGRADATION_SYNV2_00105"",""tool_id"":""TOOL_05""}"
EVID_DEGRADATION_SYNV2_00118,synthetic_lot,synthetic_secom_v2,SYNV2_00118,SYNV2_00118,2026-01-20 18:00:00,TOOL_05,TOOL_05_CH_02,RC_COMPONENT_WEAR,False,Synthetic gradual_degradation lot evidence.,"{""abrupt_shift_sigma"":"""",""anomaly_mechanism"":""gradual_degradation"",""chamber_id"":""TOOL_05_CH_02"",""degradation_progress"":""0.1702127659574468"",""event_time"":""2026-01-20 18:00:00"",""injected_sensor_columns"":""sensor_026;sensor_089;sensor_091;sensor_120;sensor_133;sensor_159;sensor_206;sensor_281;sensor_333;sensor_343;sensor_351;sensor_389;sensor_418;sensor_457;sensor_486;sensor_541;sensor_550"",""lot_id"":""SYNV2_00118"",""product_family"":""MIXED_SIGNAL"",""recipe_id"":""RCP_C"",""root_cause_id"":""RC_COMPONENT_WEAR"",""synthetic_evidence_id"":""EVID_DEGRADATION_SYNV2_00118"",""tool_id"":""TOOL_05""}"
EVID_DEGRADATION_SYNV2_00123,synthetic_lot,synthetic_secom_v2,SYNV2_00123,SYNV2_00123,2026-01-21 14:00:00,TOOL_05,TOOL_05_CH_02,RC_COMPONENT_WEAR,False,Synthetic gradual_degradation lot evidence.,"{""abrupt_shift_sigma"":"""",""anomaly_mechanism"":""gradual_degradation"",""chamber_id"":""TOOL_05_CH_02"",""degradation_progress"":""0.19148936170212766"",""event_time"":""2026-01-21 14:00:00"",""injected_sensor_columns"":""sensor_026;sensor_089;sensor_091;sensor_120;sensor_133;sensor_159;sensor_206;sensor_281;sensor_333;sensor_343;sensor_351;sensor_389;sensor_418;sensor_457;sensor_486;sensor_541;sensor_550"",""lot_id"":""SYNV2_00123"",""product_family"":""LOGIC"",""recipe_id"":""RCP_A"",""root_cause_id"":""RC_COMPONENT_WEAR"",""synthetic_evidence_id"":""EVID_DEGRADATION_SYNV2_00123"",""tool_id"":""TOOL_05""}"
EVID_DEGRADATION_SYNV2_00129,synthetic_lot,synthetic_secom_v2,SYNV2_00129,SYNV2_00129,2026-01-22 14:00:00,TOOL_05,TOOL_05_CH_02,RC_COMPONENT_WEAR,False,Synthetic gradual_degradation lot evidence.,"{""abrupt_shift_sigma"":"""",""anomaly_mechanism"":""gradual_degradation"",""chamber_id"":""TOOL_05_CH_02"",""degradation_progress"":""0.2127659574468085"",""event_time"":""2026-01-22 14:00:00"",""injected_sensor_columns"":""sensor_026;sensor_089;sensor_091;sensor_120;sensor_133;sensor_159;sensor_206;sensor_281;sensor_333;sensor_343;sensor_351;sensor_389;sensor_418;sensor_457;sensor_486;sensor_541;sensor_550"",""lot_id"":""SYNV2_00129"",""product_family"":""MEMORY"",""recipe_id"":""RCP_B"",""root_cause_id"":""RC_COMPONENT_WEAR"",""synthetic_evidence_id"":""EVID_DEGRADATION_SYNV2_00129"",""tool_id"":""TOOL_05""}"
