evidence_id,evidence_type,source_table,source_record_id,lot_id,event_time,tool_id,chamber_id,root_cause_id,is_shared_evidence,evidence_summary,evidence_payload
EVID_SENSOR_EVENT_CALIBRATION_BIAS_004,tool_event,synthetic_tool_events,EVT_SENSOR_CALIBRATION_BIAS_004,SYNV2_00605,2026-04-11 21:00:00,TOOL_06,TOOL_06_CH_01,RC_SENSOR_HARDWARE,True,sensor_fault_alarm,"{""alarm_code"":""ALARM_SENSOR_CALIBRATION_BIAS"",""chamber_id"":""TOOL_06_CH_01"",""end_time"":""2026-04-11 21:30:00"",""event_id"":""EVT_SENSOR_CALIBRATION_BIAS_004"",""event_type"":""sensor_fault_alarm"",""evidence_id"":""EVID_SENSOR_EVENT_CALIBRATION_BIAS_004"",""related_lot_id"":""SYNV2_00605"",""severity"":""high"",""start_time"":""2026-04-11 21:00:00"",""tool_id"":""TOOL_06""}"
EVID_SENSOR_EVENT_DROPOUT_002,tool_event,synthetic_tool_events,EVT_SENSOR_DROPOUT_002,SYNV2_00250,2026-02-11 17:00:00,TOOL_06,TOOL_06_CH_01,RC_SENSOR_HARDWARE,True,sensor_fault_alarm,"{""alarm_code"":""ALARM_SENSOR_DROPOUT"",""chamber_id"":""TOOL_06_CH_01"",""end_time"":""2026-02-11 17:30:00"",""event_id"":""EVT_SENSOR_DROPOUT_002"",""event_type"":""sensor_fault_alarm"",""evidence_id"":""EVID_SENSOR_EVENT_DROPOUT_002"",""related_lot_id"":""SYNV2_00250"",""severity"":""high"",""start_time"":""2026-02-11 17:00:00"",""tool_id"":""TOOL_06""}"
EVID_SENSOR_EVENT_MISSING_BURST_003,tool_event,synthetic_tool_events,EVT_SENSOR_MISSING_BURST_003,SYNV2_00425,2026-03-12 21:00:00,TOOL_06,TOOL_06_CH_01,RC_SENSOR_HARDWARE,True,sensor_fault_alarm,"{""alarm_code"":""ALARM_SENSOR_MISSING_BURST"",""chamber_id"":""TOOL_06_CH_01"",""end_time"":""2026-03-12 21:30:00"",""event_id"":""EVT_SENSOR_MISSING_BURST_003"",""event_type"":""sensor_fault_alarm"",""evidence_id"":""EVID_SENSOR_EVENT_MISSING_BURST_003"",""related_lot_id"":""SYNV2_00425"",""severity"":""high"",""start_time"":""2026-03-12 21:00:00"",""tool_id"":""TOOL_06""}"
EVID_SENSOR_EVENT_STUCK_AT_001,tool_event,synthetic_tool_events,EVT_SENSOR_STUCK_AT_001,SYNV2_00066,2026-01-12 01:00:00,TOOL_06,TOOL_06_CH_01,RC_SENSOR_HARDWARE,True,sensor_fault_alarm,"{""alarm_code"":""ALARM_SENSOR_STUCK"",""chamber_id"":""TOOL_06_CH_01"",""end_time"":""2026-01-12 01:30:00"",""event_id"":""EVT_SENSOR_STUCK_AT_001"",""event_type"":""sensor_fault_alarm"",""evidence_id"":""EVID_SENSOR_EVENT_STUCK_AT_001"",""related_lot_id"":""SYNV2_00066"",""severity"":""high"",""start_time"":""2026-01-12 01:00:00"",""tool_id"":""TOOL_06""}"
EVID_SENSOR_CALIBRATION_BIAS_SYNV2_00605,synthetic_lot,synthetic_secom_v2,SYNV2_00605,SYNV2_00605,2026-04-11 22:00:00,TOOL_06,TOOL_06_CH_01,RC_SENSOR_HARDWARE,False,Synthetic sensor_fault lot evidence.,"{""abrupt_shift_sigma"":"""",""anomaly_mechanism"":""sensor_fault"",""chamber_id"":""TOOL_06_CH_01"",""degradation_progress"":"""",""event_time"":""2026-04-11 22:00:00"",""injected_sensor_columns"":""sensor_004;sensor_134"",""lot_id"":""SYNV2_00605"",""product_family"":""MEMORY"",""recipe_id"":""RCP_A"",""root_cause_id"":""RC_SENSOR_HARDWARE"",""synthetic_evidence_id"":""EVID_SENSOR_CALIBRATION_BIAS_SYNV2_00605"",""tool_id"":""TOOL_06""}"
EVID_SENSOR_CALIBRATION_BIAS_SYNV2_00607,synthetic_lot,synthetic_secom_v2,SYNV2_00607,SYNV2_00607,2026-04-12 06:00:00,TOOL_06,TOOL_06_CH_01,RC_SENSOR_HARDWARE,False,Synthetic sensor_fault lot evidence.,"{""abrupt_shift_sigma"":"""",""anomaly_mechanism"":""sensor_fault"",""chamber_id"":""TOOL_06_CH_01"",""degradation_progress"":"""",""event_time"":""2026-04-12 06:00:00"",""injected_sensor_columns"":""sensor_004;sensor_134"",""lot_id"":""SYNV2_00607"",""product_family"":""MEMORY"",""recipe_id"":""RCP_C"",""root_cause_id"":""RC_SENSOR_HARDWARE"",""synthetic_evidence_id"":""EVID_SENSOR_CALIBRATION_BIAS_SYNV2_00607"",""tool_id"":""TOOL_06""}"
EVID_SENSOR_CALIBRATION_BIAS_SYNV2_00641,synthetic_lot,synthetic_secom_v2,SYNV2_00641,SYNV2_00641,2026-04-17 22:00:00,TOOL_06,TOOL_06_CH_01,RC_SENSOR_HARDWARE,False,Synthetic sensor_fault lot evidence.,"{""abrupt_shift_sigma"":"""",""anomaly_mechanism"":""sensor_fault"",""chamber_id"":""TOOL_06_CH_01"",""degradation_progress"":"""",""event_time"":""2026-04-17 22:00:00"",""injected_sensor_columns"":""sensor_004;sensor_134"",""lot_id"":""SYNV2_00641"",""product_family"":""MIXED_SIGNAL"",""recipe_id"":""RCP_C"",""root_cause_id"":""RC_SENSOR_HARDWARE"",""synthetic_evidence_id"":""EVID_SENSOR_CALIBRATION_BIAS_SYNV2_00641"",""tool_id"":""TOOL_06""}"
EVID_SENSOR_CALIBRATION_BIAS_SYNV2_00650,synthetic_lot,synthetic_secom_v2,SYNV2_00650,SYNV2_00650,2026-04-19 10:00:00,TOOL_06,TOOL_06_CH_01,RC_SENSOR_HARDWARE,False,Synthetic sensor_fault lot evidence.,"{""abrupt_shift_sigma"":"""",""anomaly_mechanism"":""sensor_fault"",""chamber_id"":""TOOL_06_CH_01"",""degradation_progress"":"""",""event_time"":""2026-04-19 10:00:00"",""injected_sensor_columns"":""sensor_004;sensor_134"",""lot_id"":""SYNV2_00650"",""product_family"":""MIXED_SIGNAL"",""recipe_id"":""RCP_C"",""root_cause_id"":""RC_SENSOR_HARDWARE"",""synthetic_evidence_id"":""EVID_SENSOR_CALIBRATION_BIAS_SYNV2_00650"",""tool_id"":""TOOL_06""}"
EVID_SENSOR_CALIBRATION_BIAS_SYNV2_00660,synthetic_lot,synthetic_secom_v2,SYNV2_00660,SYNV2_00660,2026-04-21 02:00:00,TOOL_06,TOOL_06_CH_01,RC_SENSOR_HARDWARE,False,Synthetic sensor_fault lot evidence.,"{""abrupt_shift_sigma"":"""",""anomaly_mechanism"":""sensor_fault"",""chamber_id"":""TOOL_06_CH_01"",""degradation_progress"":"""",""event_time"":""2026-04-21 02:00:00"",""injected_sensor_columns"":""sensor_004;sensor_134"",""lot_id"":""SYNV2_00660"",""product_family"":""MEMORY"",""recipe_id"":""RCP_A"",""root_cause_id"":""RC_SENSOR_HARDWARE"",""synthetic_evidence_id"":""EVID_SENSOR_CALIBRATION_BIAS_SYNV2_00660"",""tool_id"":""TOOL_06""}"
EVID_SENSOR_CALIBRATION_BIAS_SYNV2_00672,synthetic_lot,synthetic_secom_v2,SYNV2_00672,SYNV2_00672,2026-04-23 02:00:00,TOOL_06,TOOL_06_CH_01,RC_SENSOR_HARDWARE,False,Synthetic sensor_fault lot evidence.,"{""abrupt_shift_sigma"":"""",""anomaly_mechanism"":""sensor_fault"",""chamber_id"":""TOOL_06_CH_01"",""degradation_progress"":"""",""event_time"":""2026-04-23 02:00:00"",""injected_sensor_columns"":""sensor_004;sensor_134"",""lot_id"":""SYNV2_00672"",""product_family"":""MEMORY"",""recipe_id"":""RCP_B"",""root_cause_id"":""RC_SENSOR_HARDWARE"",""synthetic_evidence_id"":""EVID_SENSOR_CALIBRATION_BIAS_SYNV2_00672"",""tool_id"":""TOOL_06""}"
