evidence_id,evidence_type,source_table,source_record_id,lot_id,event_time,tool_id,chamber_id,root_cause_id,is_shared_evidence,evidence_summary,evidence_payload
EVID_VARIANCE_EVENT_001,tool_event,synthetic_tool_events,EVT_VARIANCE_001,SYNV2_00027,2026-01-05 13:00:00,TOOL_07,TOOL_07_CH_01,RC_PROCESS_VARIABILITY,True,process_variability_warning,"{""alarm_code"":""ALARM_PROCESS_VARIABILITY"",""chamber_id"":""TOOL_07_CH_01"",""end_time"":""2026-01-05 13:30:00"",""event_id"":""EVT_VARIANCE_001"",""event_type"":""process_variability_warning"",""evidence_id"":""EVID_VARIANCE_EVENT_001"",""related_lot_id"":""SYNV2_00027"",""severity"":""medium"",""start_time"":""2026-01-05 13:00:00"",""tool_id"":""TOOL_07""}"
EVID_VARIANCE_SYNV2_00027,synthetic_lot,synthetic_secom_v2,SYNV2_00027,SYNV2_00027,2026-01-05 14:00:00,TOOL_07,TOOL_07_CH_01,RC_PROCESS_VARIABILITY,False,Synthetic variance_instability lot evidence.,"{""abrupt_shift_sigma"":"""",""anomaly_mechanism"":""variance_instability"",""chamber_id"":""TOOL_07_CH_01"",""degradation_progress"":"""",""event_time"":""2026-01-05 14:00:00"",""injected_sensor_columns"":""sensor_036;sensor_048;sensor_084;sensor_096;sensor_125;sensor_164;sensor_165;sensor_271;sensor_302;sensor_305;sensor_339;sensor_392;sensor_413;sensor_432;sensor_545;sensor_555"",""lot_id"":""SYNV2_00027"",""product_family"":""MEMORY"",""recipe_id"":""RCP_C"",""root_cause_id"":""RC_PROCESS_VARIABILITY"",""synthetic_evidence_id"":""EVID_VARIANCE_SYNV2_00027"",""tool_id"":""TOOL_07""}"
EVID_VARIANCE_SYNV2_00056,synthetic_lot,synthetic_secom_v2,SYNV2_00056,SYNV2_00056,2026-01-10 10:00:00,TOOL_07,TOOL_07_CH_01,RC_PROCESS_VARIABILITY,False,Synthetic variance_instability lot evidence.,"{""abrupt_shift_sigma"":"""",""anomaly_mechanism"":""variance_instability"",""chamber_id"":""TOOL_07_CH_01"",""degradation_progress"":"""",""event_time"":""2026-01-10 10:00:00"",""injected_sensor_columns"":""sensor_036;sensor_048;sensor_084;sensor_096;sensor_125;sensor_164;sensor_165;sensor_271;sensor_302;sensor_305;sensor_339;sensor_392;sensor_413;sensor_432;sensor_545;sensor_555"",""lot_id"":""SYNV2_00056"",""product_family"":""LOGIC"",""recipe_id"":""RCP_A"",""root_cause_id"":""RC_PROCESS_VARIABILITY"",""synthetic_evidence_id"":""EVID_VARIANCE_SYNV2_00056"",""tool_id"":""TOOL_07""}"
EVID_VARIANCE_SYNV2_00127,synthetic_lot,synthetic_secom_v2,SYNV2_00127,SYNV2_00127,2026-01-22 06:00:00,TOOL_07,TOOL_07_CH_01,RC_PROCESS_VARIABILITY,False,Synthetic variance_instability lot evidence.,"{""abrupt_shift_sigma"":"""",""anomaly_mechanism"":""variance_instability"",""chamber_id"":""TOOL_07_CH_01"",""degradation_progress"":"""",""event_time"":""2026-01-22 06:00:00"",""injected_sensor_columns"":""sensor_036;sensor_048;sensor_084;sensor_096;sensor_125;sensor_164;sensor_165;sensor_271;sensor_302;sensor_305;sensor_339;sensor_392;sensor_413;sensor_432;sensor_545;sensor_555"",""lot_id"":""SYNV2_00127"",""product_family"":""LOGIC"",""recipe_id"":""RCP_B"",""root_cause_id"":""RC_PROCESS_VARIABILITY"",""synthetic_evidence_id"":""EVID_VARIANCE_SYNV2_00127"",""tool_id"":""TOOL_07""}"
EVID_VARIANCE_SYNV2_00138,synthetic_lot,synthetic_secom_v2,SYNV2_00138,SYNV2_00138,2026-01-24 02:00:00,TOOL_07,TOOL_07_CH_01,RC_PROCESS_VARIABILITY,False,Synthetic variance_instability lot evidence.,"{""abrupt_shift_sigma"":"""",""anomaly_mechanism"":""variance_instability"",""chamber_id"":""TOOL_07_CH_01"",""degradation_progress"":"""",""event_time"":""2026-01-24 02:00:00"",""injected_sensor_columns"":""sensor_036;sensor_048;sensor_084;sensor_096;sensor_125;sensor_164;sensor_165;sensor_271;sensor_302;sensor_305;sensor_339;sensor_392;sensor_413;sensor_432;sensor_545;sensor_555"",""lot_id"":""SYNV2_00138"",""product_family"":""MIXED_SIGNAL"",""recipe_id"":""RCP_A"",""root_cause_id"":""RC_PROCESS_VARIABILITY"",""synthetic_evidence_id"":""EVID_VARIANCE_SYNV2_00138"",""tool_id"":""TOOL_07""}"
EVID_VARIANCE_SYNV2_00178,synthetic_lot,synthetic_secom_v2,SYNV2_00178,SYNV2_00178,2026-01-30 18:00:00,TOOL_07,TOOL_07_CH_01,RC_PROCESS_VARIABILITY,False,Synthetic variance_instability lot evidence.,"{""abrupt_shift_sigma"":"""",""anomaly_mechanism"":""variance_instability"",""chamber_id"":""TOOL_07_CH_01"",""degradation_progress"":"""",""event_time"":""2026-01-30 18:00:00"",""injected_sensor_columns"":""sensor_036;sensor_048;sensor_084;sensor_096;sensor_125;sensor_164;sensor_165;sensor_271;sensor_302;sensor_305;sensor_339;sensor_392;sensor_413;sensor_432;sensor_545;sensor_555"",""lot_id"":""SYNV2_00178"",""product_family"":""MIXED_SIGNAL"",""recipe_id"":""RCP_C"",""root_cause_id"":""RC_PROCESS_VARIABILITY"",""synthetic_evidence_id"":""EVID_VARIANCE_SYNV2_00178"",""tool_id"":""TOOL_07""}"
EVID_VARIANCE_SYNV2_00204,synthetic_lot,synthetic_secom_v2,SYNV2_00204,SYNV2_00204,2026-02-04 02:00:00,TOOL_07,TOOL_07_CH_01,RC_PROCESS_VARIABILITY,False,Synthetic variance_instability lot evidence.,"{""abrupt_shift_sigma"":"""",""anomaly_mechanism"":""variance_instability"",""chamber_id"":""TOOL_07_CH_01"",""degradation_progress"":"""",""event_time"":""2026-02-04 02:00:00"",""injected_sensor_columns"":""sensor_036;sensor_048;sensor_084;sensor_096;sensor_125;sensor_164;sensor_165;sensor_271;sensor_302;sensor_305;sensor_339;sensor_392;sensor_413;sensor_432;sensor_545;sensor_555"",""lot_id"":""SYNV2_00204"",""product_family"":""MIXED_SIGNAL"",""recipe_id"":""RCP_A"",""root_cause_id"":""RC_PROCESS_VARIABILITY"",""synthetic_evidence_id"":""EVID_VARIANCE_SYNV2_00204"",""tool_id"":""TOOL_07""}"
EVID_VARIANCE_SYNV2_00222,synthetic_lot,synthetic_secom_v2,SYNV2_00222,SYNV2_00222,2026-02-07 02:00:00,TOOL_07,TOOL_07_CH_01,RC_PROCESS_VARIABILITY,False,Synthetic variance_instability lot evidence.,"{""abrupt_shift_sigma"":"""",""anomaly_mechanism"":""variance_instability"",""chamber_id"":""TOOL_07_CH_01"",""degradation_progress"":"""",""event_time"":""2026-02-07 02:00:00"",""injected_sensor_columns"":""sensor_036;sensor_048;sensor_084;sensor_096;sensor_125;sensor_164;sensor_165;sensor_271;sensor_302;sensor_305;sensor_339;sensor_392;sensor_413;sensor_432;sensor_545;sensor_555"",""lot_id"":""SYNV2_00222"",""product_family"":""LOGIC"",""recipe_id"":""RCP_B"",""root_cause_id"":""RC_PROCESS_VARIABILITY"",""synthetic_evidence_id"":""EVID_VARIANCE_SYNV2_00222"",""tool_id"":""TOOL_07""}"
EVID_VARIANCE_SYNV2_00225,synthetic_lot,synthetic_secom_v2,SYNV2_00225,SYNV2_00225,2026-02-07 14:00:00,TOOL_07,TOOL_07_CH_01,RC_PROCESS_VARIABILITY,False,Synthetic variance_instability lot evidence.,"{""abrupt_shift_sigma"":"""",""anomaly_mechanism"":""variance_instability"",""chamber_id"":""TOOL_07_CH_01"",""degradation_progress"":"""",""event_time"":""2026-02-07 14:00:00"",""injected_sensor_columns"":""sensor_036;sensor_048;sensor_084;sensor_096;sensor_125;sensor_164;sensor_165;sensor_271;sensor_302;sensor_305;sensor_339;sensor_392;sensor_413;sensor_432;sensor_545;sensor_555"",""lot_id"":""SYNV2_00225"",""product_family"":""LOGIC"",""recipe_id"":""RCP_B"",""root_cause_id"":""RC_PROCESS_VARIABILITY"",""synthetic_evidence_id"":""EVID_VARIANCE_SYNV2_00225"",""tool_id"":""TOOL_07""}"
EVID_VARIANCE_SYNV2_00230,synthetic_lot,synthetic_secom_v2,SYNV2_00230,SYNV2_00230,2026-02-08 10:00:00,TOOL_07,TOOL_07_CH_01,RC_PROCESS_VARIABILITY,False,Synthetic variance_instability lot evidence.,"{""abrupt_shift_sigma"":"""",""anomaly_mechanism"":""variance_instability"",""chamber_id"":""TOOL_07_CH_01"",""degradation_progress"":"""",""event_time"":""2026-02-08 10:00:00"",""injected_sensor_columns"":""sensor_036;sensor_048;sensor_084;sensor_096;sensor_125;sensor_164;sensor_165;sensor_271;sensor_302;sensor_305;sensor_339;sensor_392;sensor_413;sensor_432;sensor_545;sensor_555"",""lot_id"":""SYNV2_00230"",""product_family"":""MIXED_SIGNAL"",""recipe_id"":""RCP_C"",""root_cause_id"":""RC_PROCESS_VARIABILITY"",""synthetic_evidence_id"":""EVID_VARIANCE_SYNV2_00230"",""tool_id"":""TOOL_07""}"
EVID_VARIANCE_SYNV2_00231,synthetic_lot,synthetic_secom_v2,SYNV2_00231,SYNV2_00231,2026-02-08 14:00:00,TOOL_07,TOOL_07_CH_01,RC_PROCESS_VARIABILITY,False,Synthetic variance_instability lot evidence.,"{""abrupt_shift_sigma"":"""",""anomaly_mechanism"":""variance_instability"",""chamber_id"":""TOOL_07_CH_01"",""degradation_progress"":"""",""event_time"":""2026-02-08 14:00:00"",""injected_sensor_columns"":""sensor_036;sensor_048;sensor_084;sensor_096;sensor_125;sensor_164;sensor_165;sensor_271;sensor_302;sensor_305;sensor_339;sensor_392;sensor_413;sensor_432;sensor_545;sensor_555"",""lot_id"":""SYNV2_00231"",""product_family"":""MEMORY"",""recipe_id"":""RCP_A"",""root_cause_id"":""RC_PROCESS_VARIABILITY"",""synthetic_evidence_id"":""EVID_VARIANCE_SYNV2_00231"",""tool_id"":""TOOL_07""}"
