maintenance_id,tool_id,chamber_id,scheduled_at,performed_at,delay_days,maintenance_type,component,replacement_performed,related_lot_id,evidence_id
MAINT_BASE_001,TOOL_01,TOOL_01_CH_01,2026-01-08 06:00:00,2026-01-08 06:00:00,0,preventive,baseline_inspection,False,,EVID_BASE_MAINT_001
MAINT_BASE_002,TOOL_01,TOOL_01_CH_02,2026-01-09 06:00:00,2026-01-09 06:00:00,0,preventive,baseline_inspection,False,,EVID_BASE_MAINT_002
MAINT_BASE_003,TOOL_02,TOOL_02_CH_01,2026-01-10 06:00:00,2026-01-10 06:00:00,0,preventive,baseline_inspection,False,,EVID_BASE_MAINT_003
MAINT_BASE_004,TOOL_02,TOOL_02_CH_02,2026-01-11 06:00:00,2026-01-11 06:00:00,0,preventive,baseline_inspection,False,,EVID_BASE_MAINT_004
MAINT_BASE_005,TOOL_03,TOOL_03_CH_01,2026-01-12 06:00:00,2026-01-12 06:00:00,0,preventive,baseline_inspection,False,,EVID_BASE_MAINT_005
MAINT_BASE_006,TOOL_03,TOOL_03_CH_02,2026-01-13 06:00:00,2026-01-13 06:00:00,0,preventive,baseline_inspection,False,,EVID_BASE_MAINT_006
MAINT_BASE_007,TOOL_04,TOOL_04_CH_01,2026-01-14 06:00:00,2026-01-14 06:00:00,0,preventive,baseline_inspection,False,,EVID_BASE_MAINT_007
MAINT_BASE_008,TOOL_04,TOOL_04_CH_02,2026-01-15 06:00:00,2026-01-15 06:00:00,0,preventive,baseline_inspection,False,,EVID_BASE_MAINT_008
MAINT_BASE_009,TOOL_05,TOOL_05_CH_01,2026-01-16 06:00:00,2026-01-16 06:00:00,0,preventive,baseline_inspection,False,,EVID_BASE_MAINT_009
MAINT_BASE_010,TOOL_05,TOOL_05_CH_02,2026-01-17 06:00:00,2026-01-17 06:00:00,0,preventive,baseline_inspection,False,,EVID_BASE_MAINT_010
MAINT_BASE_011,TOOL_06,TOOL_06_CH_01,2026-01-18 06:00:00,2026-01-18 06:00:00,0,preventive,baseline_inspection,False,,EVID_BASE_MAINT_011
MAINT_BASE_012,TOOL_06,TOOL_06_CH_02,2026-01-19 06:00:00,2026-01-19 06:00:00,0,preventive,baseline_inspection,False,,EVID_BASE_MAINT_012
MAINT_BASE_013,TOOL_07,TOOL_07_CH_01,2026-01-20 06:00:00,2026-01-20 06:00:00,0,preventive,baseline_inspection,False,,EVID_BASE_MAINT_013
MAINT_BASE_014,TOOL_07,TOOL_07_CH_02,2026-01-21 06:00:00,2026-01-21 06:00:00,0,preventive,baseline_inspection,False,,EVID_BASE_MAINT_014
MAINT_BASE_015,TOOL_08,TOOL_08_CH_01,2026-01-22 06:00:00,2026-01-22 06:00:00,0,preventive,baseline_inspection,False,,EVID_BASE_MAINT_015
MAINT_BASE_016,TOOL_08,TOOL_08_CH_02,2026-01-23 06:00:00,2026-01-23 06:00:00,0,preventive,baseline_inspection,False,,EVID_BASE_MAINT_016
MAINT_GRADUAL_001,TOOL_05,TOOL_05_CH_02,2025-12-30 06:00:00,2026-01-04 06:00:00,5,preventive_inspection,pressure_control_valve,False,SYNV2_00019,EVID_MAINT_DELAY_GRADUAL_001
