change_id,change_type,tool_id,chamber_id,old_value,new_value,changed_at,related_lot_id,is_benign_drift,evidence_id
CHANGE_BASE_001,baseline_recipe_assignment,TOOL_02,TOOL_02_CH_02,RCP_C,RCP_A,2026-01-01 05:00:00,SYNV2_00001,True,EVID_BASE_CHANGE_001
CHANGE_BASE_002,baseline_recipe_assignment,TOOL_07,TOOL_07_CH_02,RCP_B,RCP_C,2026-01-24 21:00:00,SYNV2_00143,True,EVID_BASE_CHANGE_002
CHANGE_BASE_003,baseline_recipe_assignment,TOOL_04,TOOL_04_CH_02,RCP_C,RCP_A,2026-02-17 13:00:00,SYNV2_00285,True,EVID_BASE_CHANGE_003
CHANGE_BASE_004,baseline_recipe_assignment,TOOL_02,TOOL_02_CH_02,RCP_B,RCP_C,2026-03-13 09:00:00,SYNV2_00428,True,EVID_BASE_CHANGE_004
CHANGE_BASE_005,baseline_recipe_assignment,TOOL_03,TOOL_03_CH_01,RCP_C,RCP_A,2026-04-06 01:00:00,SYNV2_00570,True,EVID_BASE_CHANGE_005
CHANGE_BASE_006,baseline_recipe_assignment,TOOL_04,TOOL_04_CH_02,RCP_A,RCP_B,2026-04-29 17:00:00,SYNV2_00712,True,EVID_BASE_CHANGE_006
CHANGE_BASE_007,baseline_recipe_assignment,TOOL_07,TOOL_07_CH_02,RCP_B,RCP_C,2026-05-23 13:00:00,SYNV2_00855,True,EVID_BASE_CHANGE_007
CHANGE_BASE_008,baseline_recipe_assignment,TOOL_02,TOOL_02_CH_02,RCP_A,RCP_B,2026-06-16 05:00:00,SYNV2_00997,True,EVID_BASE_CHANGE_008
CHANGE_BASE_009,baseline_recipe_assignment,TOOL_05,TOOL_05_CH_01,RCP_B,RCP_C,2026-07-09 21:00:00,SYNV2_01139,True,EVID_BASE_CHANGE_009
CHANGE_BASE_010,baseline_recipe_assignment,TOOL_06,TOOL_06_CH_02,RCP_B,RCP_C,2026-08-02 17:00:00,SYNV2_01282,True,EVID_BASE_CHANGE_010
CHANGE_BASE_011,baseline_recipe_assignment,TOOL_03,TOOL_03_CH_01,RCP_C,RCP_A,2026-08-26 09:00:00,SYNV2_01424,True,EVID_BASE_CHANGE_011
CHANGE_BASE_012,baseline_recipe_assignment,TOOL_01,TOOL_01_CH_01,RCP_C,RCP_A,2026-09-19 05:00:00,SYNV2_01567,True,EVID_BASE_CHANGE_012
CHANGE_BENIGN_RECIPE_MIX_CHANGE_001,recipe_mix_change,TOOL_01,TOOL_01_CH_01,RCP_A|RCP_B|RCP_C,RCP_C,2026-04-01 05:00:00,SYNV2_00541,True,EVID_BENIGN_DRIFT_RECIPE_MIX_CHANGE_001
CHANGE_BENIGN_PRODUCT_MIX_CHANGE_002,product_mix_change,TOOL_02,TOOL_02_CH_02,LOGIC|MEMORY|MIXED_SIGNAL,LOGIC,2026-05-05 21:00:00,SYNV2_00749,True,EVID_BENIGN_DRIFT_PRODUCT_MIX_CHANGE_002
CHANGE_BENIGN_TOOL_REASSIGNMENT_003,tool_reassignment,TOOL_03,TOOL_03_CH_02,TOOL_01/TOOL_01_CH_02|TOOL_02/TOOL_02_CH_01|TOOL_02/TOOL_02_CH_02|TOOL_04/TOOL_04_CH_01|TOOL_04/TOOL_04_CH_02|TOOL_05/TOOL_05_CH_01|TOOL_05/TOOL_05_CH_02|TOOL_06/TOOL_06_CH_01|TOOL_06/TOOL_06_CH_02|TOOL_07/TOOL_07_CH_01|TOOL_07/TOOL_07_CH_02,TOOL_03/TOOL_03_CH_02,2026-07-20 09:00:00,SYNV2_01202,True,EVID_BENIGN_DRIFT_TOOL_REASSIGNMENT_003
