event_id,tool_id,chamber_id,alarm_code,event_type,start_time,end_time,severity,related_lot_id,evidence_id
EVT_BASE_001,TOOL_01,TOOL_01_CH_01,STATUS_ROUTINE,routine_status,2026-01-01 06:00:00,2026-01-01 06:15:00,low,,EVID_BASE_EVENT_001
EVT_BASE_002,TOOL_01,TOOL_01_CH_02,STATUS_ROUTINE,routine_status,2026-01-02 06:00:00,2026-01-02 06:15:00,low,,EVID_BASE_EVENT_002
EVT_BASE_003,TOOL_02,TOOL_02_CH_01,STATUS_ROUTINE,routine_status,2026-01-03 06:00:00,2026-01-03 06:15:00,low,,EVID_BASE_EVENT_003
EVT_BASE_004,TOOL_02,TOOL_02_CH_02,STATUS_ROUTINE,routine_status,2026-01-04 06:00:00,2026-01-04 06:15:00,low,,EVID_BASE_EVENT_004
EVT_BASE_005,TOOL_03,TOOL_03_CH_01,STATUS_ROUTINE,routine_status,2026-01-05 06:00:00,2026-01-05 06:15:00,low,,EVID_BASE_EVENT_005
EVT_BASE_006,TOOL_03,TOOL_03_CH_02,STATUS_ROUTINE,routine_status,2026-01-06 06:00:00,2026-01-06 06:15:00,low,,EVID_BASE_EVENT_006
EVT_BASE_007,TOOL_04,TOOL_04_CH_01,STATUS_ROUTINE,routine_status,2026-01-07 06:00:00,2026-01-07 06:15:00,low,,EVID_BASE_EVENT_007
EVT_BASE_008,TOOL_04,TOOL_04_CH_02,STATUS_ROUTINE,routine_status,2026-01-08 06:00:00,2026-01-08 06:15:00,low,,EVID_BASE_EVENT_008
EVT_BASE_009,TOOL_05,TOOL_05_CH_01,STATUS_ROUTINE,routine_status,2026-01-09 06:00:00,2026-01-09 06:15:00,low,,EVID_BASE_EVENT_009
EVT_BASE_010,TOOL_05,TOOL_05_CH_02,STATUS_ROUTINE,routine_status,2026-01-10 06:00:00,2026-01-10 06:15:00,low,,EVID_BASE_EVENT_010
EVT_BASE_011,TOOL_06,TOOL_06_CH_01,STATUS_ROUTINE,routine_status,2026-01-11 06:00:00,2026-01-11 06:15:00,low,,EVID_BASE_EVENT_011
EVT_BASE_012,TOOL_06,TOOL_06_CH_02,STATUS_ROUTINE,routine_status,2026-01-12 06:00:00,2026-01-12 06:15:00,low,,EVID_BASE_EVENT_012
EVT_BASE_013,TOOL_07,TOOL_07_CH_01,STATUS_ROUTINE,routine_status,2026-01-13 06:00:00,2026-01-13 06:15:00,low,,EVID_BASE_EVENT_013
EVT_BASE_014,TOOL_07,TOOL_07_CH_02,STATUS_ROUTINE,routine_status,2026-01-14 06:00:00,2026-01-14 06:15:00,low,,EVID_BASE_EVENT_014
EVT_BASE_015,TOOL_08,TOOL_08_CH_01,STATUS_ROUTINE,routine_status,2026-01-15 06:00:00,2026-01-15 06:15:00,low,,EVID_BASE_EVENT_015
EVT_BASE_016,TOOL_08,TOOL_08_CH_02,STATUS_ROUTINE,routine_status,2026-01-16 06:00:00,2026-01-16 06:15:00,low,,EVID_BASE_EVENT_016
EVT_ABRUPT_001,TOOL_02,TOOL_02_CH_02,ALARM_PRESSURE_SHIFT,tool_alarm,2026-01-01 04:00:00,2026-01-01 04:30:00,high,SYNV2_00001,EVID_ALARM_ABRUPT_001
EVT_VARIANCE_001,TOOL_07,TOOL_07_CH_01,ALARM_PROCESS_VARIABILITY,process_variability_warning,2026-01-05 13:00:00,2026-01-05 13:30:00,medium,SYNV2_00027,EVID_VARIANCE_EVENT_001
EVT_SENSOR_STUCK_AT_001,TOOL_06,TOOL_06_CH_01,ALARM_SENSOR_STUCK,sensor_fault_alarm,2026-01-12 01:00:00,2026-01-12 01:30:00,high,SYNV2_00066,EVID_SENSOR_EVENT_STUCK_AT_001
EVT_SENSOR_DROPOUT_002,TOOL_06,TOOL_06_CH_01,ALARM_SENSOR_DROPOUT,sensor_fault_alarm,2026-02-11 17:00:00,2026-02-11 17:30:00,high,SYNV2_00250,EVID_SENSOR_EVENT_DROPOUT_002
EVT_SENSOR_MISSING_BURST_003,TOOL_06,TOOL_06_CH_01,ALARM_SENSOR_MISSING_BURST,sensor_fault_alarm,2026-03-12 21:00:00,2026-03-12 21:30:00,high,SYNV2_00425,EVID_SENSOR_EVENT_MISSING_BURST_003
EVT_SENSOR_CALIBRATION_BIAS_004,TOOL_06,TOOL_06_CH_01,ALARM_SENSOR_CALIBRATION_BIAS,sensor_fault_alarm,2026-04-11 21:00:00,2026-04-11 21:30:00,high,SYNV2_00605,EVID_SENSOR_EVENT_CALIBRATION_BIAS_004
